"5/8/2026, 10:00:04 PM",NaN

time,distance
"5/8/2026, 10:00:04 PM",NaN

time,distance
"5/8/2026, 10:00:04 PM",NaN

time,distance
"5/8/2026, 10:00:04 PM",NaN

time,distance
"5/8/2026, 10:00:04 PM",NaN

time,distance
"5/8/2026, 10:00:04 PM",NaN

time,distance
"5/8/2026, 10:00:05 PM",NaN

time,distance
"5/8/2026, 10:00:05 PM",NaN

time,distance
"5/8/2026, 10:00:05 PM",NaN

time,distance
"5/8/2026, 10:00:05 PM",NaN

time,distance
"5/8/2026, 10:00:05 PM",NaN

time,distance
"5/8/2026, 10:00:05 PM",NaN

time,distance
"5/8/2026, 10:00:06 PM",NaN

time,distance
"5/8/2026, 10:00:06 PM",NaN

time,distance
"5/8/2026, 10:00:06 PM",NaN

time,distance
"5/8/2026, 10:00:06 PM",NaN

time,distance
"5/8/2026, 10:00:06 PM",NaN

time,distance
"5/8/2026, 10:00:06 PM",NaN

time,distance
"5/8/2026, 10:00:07 PM",NaN

time,distance
"5/8/2026, 10:00:07 PM",NaN

time,distance
"5/8/2026, 10:00:07 PM",NaN

time,distance
"5/8/2026, 10:00:07 PM",NaN

time,distance
"5/8/2026, 10:00:07 PM",NaN

time,distance
"5/8/2026, 10:00:07 PM",NaN

time,distance
"5/8/2026, 10:00:07 PM",NaN

time,distance
"5/8/2026, 10:00:07 PM",NaN

time,distance
"5/8/2026, 10:00:08 PM",NaN

time,distance
"5/8/2026, 10:00:08 PM",NaN

time,distance
"5/8/2026, 10:00:08 PM",NaN

time,distance
"5/8/2026, 10:00:08 PM",NaN

time,distance
"5/8/2026, 10:00:08 PM",NaN

time,distance
"5/8/2026, 10:00:08 PM",NaN

time,distance
"5/8/2026, 10:00:09 PM",NaN

time,distance
"5/8/2026, 10:00:09 PM",NaN

time,distance
"5/8/2026, 10:00:09 PM",NaN

time,distance
"5/8/2026, 10:00:09 PM",NaN

time,distance
"5/8/2026, 10:00:09 PM",NaN

time,distance
"5/8/2026, 10:00:09 PM",NaN

time,distance
"5/8/2026, 10:00:10 PM",NaN

time,distance
"5/8/2026, 10:00:10 PM",NaN

time,distance
"5/8/2026, 10:00:10 PM",NaN

time,distance
"5/8/2026, 10:00:10 PM",NaN

time,distance
"5/8/2026, 10:00:10 PM",NaN

time,distance
"5/8/2026, 10:00:10 PM",NaN

time,distance
"5/8/2026, 10:00:11 PM",NaN

time,distance
"5/8/2026, 10:00:11 PM",NaN

time,distance
"5/8/2026, 10:00:11 PM",NaN

time,distance
"5/8/2026, 10:00:11 PM",NaN

time,distance
"5/8/2026, 10:00:11 PM",NaN

time,distance
"5/8/2026, 10:00:11 PM",NaN

time,distance
"5/8/2026, 10:00:12 PM",NaN

time,distance
"5/8/2026, 10:00:12 PM",NaN

time,distance
"5/8/2026, 10:00:12 PM",NaN

time,distance
"5/8/2026, 10:00:12 PM",NaN

time,distance
"5/8/2026, 10:00:12 PM",NaN

time,distance
"5/8/2026, 10:00:12 PM",NaN

time,distance
"5/8/2026, 10:00:13 PM",NaN

time,distance
"5/8/2026, 10:00:13 PM",NaN

time,distance
"5/8/2026, 10:00:13 PM",NaN

time,distance
"5/8/2026, 10:00:13 PM",NaN

time,distance
"5/8/2026, 10:00:13 PM",NaN

time,distance
"5/8/2026, 10:00:13 PM",NaN

time,distance
"5/8/2026, 10:00:13 PM",NaN

time,distance
"5/8/2026, 10:00:13 PM",NaN

time,distance
"5/8/2026, 10:00:14 PM",NaN

time,distance
"5/8/2026, 10:00:14 PM",NaN

time,distance
"5/8/2026, 10:00:14 PM",NaN

time,distance
"5/8/2026, 10:00:14 PM",NaN

time,distance
"5/8/2026, 10:00:14 PM",NaN

time,distance
"5/8/2026, 10:00:14 PM",NaN

time,distance
"5/8/2026, 10:00:15 PM",NaN

time,distance
"5/8/2026, 10:00:15 PM",NaN

time,distance
"5/8/2026, 10:00:15 PM",NaN

time,distance
"5/8/2026, 10:00:15 PM",NaN

time,distance
"5/8/2026, 10:00:15 PM",NaN

time,distance
"5/8/2026, 10:00:15 PM",NaN

time,distance
"5/8/2026, 10:00:16 PM",NaN

time,distance
"5/8/2026, 10:00:16 PM",NaN

time,distance
"5/8/2026, 10:00:16 PM",NaN

time,distance
"5/8/2026, 10:00:16 PM",NaN

time,distance
"5/8/2026, 10:00:16 PM",NaN

time,distance
"5/8/2026, 10:00:16 PM",NaN

time,distance
"5/8/2026, 10:00:17 PM",NaN

time,distance
"5/8/2026, 10:00:17 PM",NaN

time,distance
"5/8/2026, 10:00:17 PM",NaN

time,distance
"5/8/2026, 10:00:17 PM",NaN

time,distance
"5/8/2026, 10:00:17 PM",NaN

time,distance
"5/8/2026, 10:00:17 PM",NaN

time,distance
"5/8/2026, 10:00:18 PM",NaN

time,distance
"5/8/2026, 10:00:18 PM",NaN

time,distance
"5/8/2026, 10:00:18 PM",NaN

time,distance
"5/8/2026, 10:00:18 PM",NaN

time,distance
"5/8/2026, 10:00:18 PM",NaN

time,distance
"5/8/2026, 10:00:18 PM",NaN

time,distance
"5/8/2026, 10:00:18 PM",NaN

time,distance
"5/8/2026, 10:00:18 PM",NaN

time,distance
"5/8/2026, 10:00:19 PM",NaN

time,distance
"5/8/2026, 10:00:19 PM",NaN

time,distance
"5/8/2026, 10:00:19 PM",NaN

time,distance
"5/8/2026, 10:00:19 PM",NaN

time,distance
"5/8/2026, 10:00:19 PM",NaN

time,distance
"5/8/2026, 10:00:19 PM",NaN

time,distance
"5/8/2026, 10:00:20 PM",NaN

time,distance
"5/8/2026, 10:00:20 PM",NaN

time,distance
"5/8/2026, 10:00:20 PM",NaN

time,distance
"5/8/2026, 10:00:20 PM",NaN

time,distance
"5/8/2026, 10:00:20 PM",NaN

time,distance
"5/8/2026, 10:00:20 PM",NaN

time,distance
"5/8/2026, 10:00:21 PM",NaN

time,distance
"5/8/2026, 10:00:21 PM",NaN

time,distance
"5/8/2026, 10:00:21 PM",NaN

time,distance
"5/8/2026, 10:00:21 PM",NaN

time,distance
"5/8/2026, 10:00:21 PM",NaN

time,distance
"5/8/2026, 10:00:21 PM",NaN

time,distance
"5/8/2026, 10:00:22 PM",NaN

time,distance
"5/8/2026, 10:00:22 PM",NaN

time,distance
"5/8/2026, 10:00:22 PM",NaN

time,distance
"5/8/2026, 10:00:22 PM",NaN

time,distance
"5/8/2026, 10:00:22 PM",NaN

time,distance
"5/8/2026, 10:00:22 PM",NaN

time,distance
"5/8/2026, 10:00:23 PM",NaN

time,distance
"5/8/2026, 10:00:23 PM",NaN

time,distance
"5/8/2026, 10:00:23 PM",NaN

time,distance
"5/8/2026, 10:00:23 PM",NaN

time,distance
"5/8/2026, 10:00:23 PM",NaN

time,distance
"5/8/2026, 10:00:23 PM",NaN

time,distance
"5/8/2026, 10:00:23 PM",NaN

time,distance
"5/8/2026, 10:00:23 PM",NaN

time,distance
"5/8/2026, 10:00:24 PM",NaN

time,distance
"5/8/2026, 10:00:24 PM",NaN

time,distance
"5/8/2026, 10:00:24 PM",NaN

time,distance
"5/8/2026, 10:00:24 PM",NaN

time,distance
"5/8/2026, 10:00:24 PM",NaN

time,distance
"5/8/2026, 10:00:24 PM",NaN

time,distance
"5/8/2026, 10:00:25 PM",NaN

time,distance
